title	type	url_slug	venue	date	location	talk_url	description
Optimal Linear Baseline Models for Scientific Machine Learning	Invited Talk	optimal-linear-baseline-models	SIAM Student Chapter, Florida State University	2025-11-01	Tallahassee, FL		This invited talk presented work on constructing optimal linear baseline models to benchmark scientific machine learning architectures.
Optimal Linear Baseline Models for Scientific Machine Learning	Contributed Talk	optimal-linear-baseline-models	Joint Mathematics Meetings, AMS Contributed Paper Session on Computer Science, Information, and Communication	2026-01-01	Washington, DC		This contributed talk discussed the development of optimal rank-constrained mappings within linear encoder-decoder architectures for scientific machine learning.
